Fast Food,Store Name,Street,City,State,Zip,Country,unique_address,LAT,LONG
Pizza Hut,The Pines,"The Pines Shopping Centre, KP McGrath Dr",The Pines,QLD,4221,Australia,"The Pines Shopping Centre, KP McGrath Dr,The Pines,QLD,4221,Australia",-28.13447873,153.4685755
Pizza Hut,Thornlie,"Unit 3, 320-330 Spencer Rd",Thornlie,WA,6108,Australia,"Unit 3, 320-330 Spencer Rd,Thornlie,WA,6108,Australia",-32.05703373,115.9627638
Pizza Hut,Toowoomba Dine In,871 Ruthven St,Toowoomba,QLD,4350,Australia,"871 Ruthven St,Toowoomba,QLD,4350,Australia",-27.59365198,151.9473398
Pizza Hut,Top Ryde,"Shop 4, 43 Blaxland Rd",Top Ryde,NSW,2112,Australia,"Shop 4, 43 Blaxland Rd,Top Ryde,NSW,2112,Australia",-33.81422279,151.1072092
Pizza Hut,Tuart Hill,207 Wanneroo Rd,Tuart Hill,WA,6060,Australia,"207 Wanneroo Rd,Tuart Hill,WA,6060,Australia",-31.88985001,115.83733
Pizza Hut,Turramurra,1255 Pacific Hwy,Turramurra,NSW,2074,Australia,"1255 Pacific Hwy,Turramurra,NSW,2074,Australia",-33.73286112,151.1305157
Pizza Hut,Umina,280 West St,Umina,NSW,2257,Australia,"280 West St,Umina,NSW,2257,Australia",-33.52175312,151.3200944
Pizza Hut,Upper Coomera,"Shop E1A Coomera Square Shopping Centre, 2 City Centre Dr",Upper Coomera,QLD,4209,Australia,"Shop E1A Coomera Square Shopping Centre, 2 City Centre Dr,Upper Coomera,QLD,4209,Australia",-27.85140493,153.3006508
Pizza Hut,Upper Mt Gravatt,"Shop 1, 1888 Logan Rd",Upper Mt Gravatt,QLD,4122,Australia,"Shop 1, 1888 Logan Rd,Upper Mt Gravatt,QLD,4122,Australia",-27.55501178,153.0805118
Pizza Hut,Wagga Wagga,19 Baylis Street,Wagga Wagga,NSW,2650,Australia,"19 Baylis Street,Wagga Wagga,NSW,2650,Australia",-35.11830983,147.369388
Pizza Hut,Wanneroo,"Shop 6, 981 Wanneroo Rd",Wanneroo,WA,6065,Australia,"Shop 6, 981 Wanneroo Rd,Wanneroo,WA,6065,Australia",-31.75023772,115.8017198
Pizza Hut,Warner,"Shop3, 341 Samsonvale Rd",Warner,QLD,4500,Australia,"Shop3, 341 Samsonvale Rd,Warner,QLD,4500,Australia",-27.29182832,152.953432
Pizza Hut,Warrawong,"Shop 4, 32-40 King St",Warrawong,NSW,2502,Australia,"Shop 4, 32-40 King St,Warrawong,NSW,2502,Australia",-34.48328034,150.8869919
Pizza Hut,Warwick,40 Albion St,Warwick,QLD,4370,Australia,"40 Albion St,Warwick,QLD,4370,Australia",-28.2140929,152.035873
Pizza Hut,Waterford West,"Shop 29 Waterford West Shopping Plaza, 917 Kingston Rd",Waterford West,QLD,4133,Australia,"Shop 29 Waterford West Shopping Plaza, 917 Kingston Rd,Waterford West,QLD,4133,Australia",-27.69271161,153.1351728
Pizza Hut,Waterloo,7 Archibald Ave,Waterloo,NSW,2017,Australia,"7 Archibald Ave,Waterloo,NSW,2017,Australia",-33.90154001,151.2095253
Pizza Hut,Wentworthville,41 Station St,Wentworthville,NSW,2145,Australia,"41 Station St,Wentworthville,NSW,2145,Australia",-33.80851048,150.9715694
Pizza Hut,Werribee,9 Station Pl,Wyndham,VIC,3030,Australia,"9 Station Pl,Wyndham,VIC,3030,Australia",-37.90034003,144.6611402
Pizza Hut,West Hoxton Park,Cnr Cowpasture & Fifteenth Ave,West Hoxton Park,NSW,2171,Australia,"Cnr Cowpasture & Fifteenth Ave,West Hoxton Park,NSW,2171,Australia",-33.92454062,150.8482941
Pizza Hut,West Pennant Hills,Cnr Castle Hills Rd & Pennant Hills Rd,West Pennant Hills,NSW,2125,Australia,"Cnr Castle Hills Rd & Pennant Hills Rd,West Pennant Hills,NSW,2125,Australia",-33.74805642,151.0498602
Pizza Hut,Whyalla,"Shop 63 Westland Shopping Centre, McDouall Stuart Ave",Whyalla,SA,5608,Australia,"Shop 63 Westland Shopping Centre, McDouall Stuart Ave,Whyalla,SA,5608,Australia",-33.02775,137.53239
Pizza Hut,Willoughby,511 Willoughby Rd,Willoughby,NSW,2068,Australia,"511 Willoughby Rd,Willoughby,NSW,2068,Australia",-33.8073961,151.1997027
Pizza Hut,Wilsonton,"Shop 15A Wilsonton Shopping Centre, 407 Bridge Street",North Toowoomba,QLD,4350,Australia,"Shop 15A Wilsonton Shopping Centre, 407 Bridge Street,North Toowoomba,QLD,4350,Australia",-27.5514724,151.9523199
Pizza Hut,Windsor Dine In,69 Macquarie St,Windsor,NSW,2756,Australia,"69 Macquarie St,Windsor,NSW,2756,Australia",-33.60828546,150.8196635
Pizza Hut,Woodridge,"Shop C , 1 Wembley Road",Logan Central,QLD,4116,Australia,"Shop C , 1 Wembley Road,Logan Central,QLD,4116,Australia",-27.64174629,153.1178268
Pizza Hut,Woodvale,"Shop 18A, 923 Whitfords Ave",Woodvale,WA,6026,Australia,"Shop 18A, 923 Whitfords Ave,Woodvale,WA,6026,Australia",-31.79982523,115.7940282
Pizza Hut,Woolloongabba,"Shop 2, 80 Ipswich Rd",Woolloongabba,QLD,4102,Australia,"Shop 2, 80 Ipswich Rd,Woolloongabba,QLD,4102,Australia",-27.49096956,153.035656
